沉醉于	-0.095465394
要	0.115869441
暗查	-0.095465394
陶醉在	0.465393795
臭老九	-0.167064439
齐唱	0.238663484
宾至如归	0.238663484
佛罗里达	0.286396181
俯视	0.250596659
纳西	-0.114558473
土音	0.334128878
容量	0.143198091
宠辱不惊	0.381861575
从头至尾	0.525059666
奇形怪状	0.286396181
滁州	0.286396181
欣喜若狂	0.340095465
招收	0.131264916
吃重	-0.114558473
好事	0.247852029
责无旁贷	0.238663484
大张旗鼓	0.238663484
黄昏	-0.155131265
契友	0.334128878
传宗接代	0.286396181
敬请	0.143198091
胞衣	-0.133651551
挺好	0.143198091
香精	0.274794484
老想	0.119331742
免强	-0.128878282
命苦	-0.243436754
明月当空	0.31026253
圆圆的	0.190930788
拉杆	-0.262529833
粉墙黛瓦	0.30230708
不知廉耻	-0.322195704
窜逃	-0.448687351
独酌	-0.119331742
嘱事	-0.095465394
得罪人	-0.133651551
得理不饶人	-0.15274463
信访	0.167064439
拱抱	0.262529833
暧昧	-0.045942721
屹立	0.238663484
免得	0.107398568
牵引力	0.334128878
绞尽脑汁	-0.15274463
阴山	0.668257757
觞	-0.119331742
断章取义	-0.286396181
馈线	-0.095465394
花俏	-0.190930788
觚	-0.119331742
绿宝石	0.262529833
自查	0.262529833
觥	-0.119331742
墨梅	0.238663484
触	0.190930788
不眠不休	0.334128878
嵯峨	0.31026253
解	0.232696897
逾越	0.286396181
契合	0.28341128
还乡	0.250596659
伤天害理	-0.381861575
中巴车	0.143198091
免征	-0.143198091
演变	0.143198091
靠不住	-0.334128878
壮怀	0.381861575
大多	0.178997613
如下	-0.095465394
览胜	0.190930788
免役	-0.143198091
工事	0.167064439
宝贝儿	0.294723574
遍访	0.167064439
公害	-0.095465394
智残	-0.190930788
致命伤	-0.167064439
冲动	-0.034166562
纵观	0.238663484
低气压区	-0.095465394
遭袭	-0.15274463
不可或缺	-0.095465394
群星璀璨	0.355102336
被告人	-0.238663484
那般	0.085918854
风闻	-0.095465394
奉告	0.035799523
转学	0.238663484
多姿	0.31026253
潮涨潮落	0.286396181
纵览	0.238663484
宿醉	-0.095465394
耐心	0.238663484
令人作呕	-0.296340493
这个	-0.190930788
形影不	0.429594272
麻黄素	-0.372315036
奖励	0.230310263
胆识	0.286396181
黄斑	-0.286396181
凹凸不平	-0.372315036
线衣	0.262529833
走风	-0.133651551
致癌物	0.119331742
陷身囹圄	-0.272076372
